대여소 번호,공원유무,유동인구,조사지점거리,지하철거리,대여소 이름
624,0,4023,238.1145005,0.724,전농동 동아아파트 앞
1738,0,10047,239.0554055,0.292,창동주공17단지 상가앞
838,0,5712,239.3808685,0.035,숙대입구역 4번출구
363,0,14922,241.6234301,0.018,신설동역 11번출구 뒤
3527,0,3528,241.8719738,0.631,왕십리 자이아파트
1529,0,45153,242.3227709,0.313,미아동 한국전력공사
506,0,6753,242.437714,0.61,금호 어울림 아파트 앞
1403,0,16788,242.8528102,0.129,중화빌딩 앞 (동부시장)
1370,0,5949,242.8897892,1.322,복자사랑 피정의 집
610,0,6522,243.5113085,0.669,동대문중 교차로
853,0,46359,245.039467,0.132,용산역 맞은편
534,0,28719,246.2425204,0.865,금호사거리
633,0,36747,246.5798086,0.085,청량리 기업은행 앞
858,0,58980,247.4895888,0.025,녹사평역3번 출구
516,0,27414,247.5210197,0.463,광진메디칼 앞
813,0,19755,248.0474833,0.024,삼각지역 3번출구
451,0,828,249.0798534,1.071,청와대앞길
3113,0,32307,249.7212156,0.262,독립문역사거리
562,0,13119,250.2517264,0.559,군자지하보도 앞
1431,0,13218,250.5575332,1.05,중랑구청 사거리
443,0,17919,253.3558316,0.351,호암아트홀
1411,0,70458,253.5704404,0.269,상봉시장앞 교차로 한성빌딩 앞
390,0,88356,253.9028469,0.013,충무로역 1번출구
1352,0,19845,254.1174497,0.284,e 편한세상 보문아파트 내
3587,0,21771,255.1545852,0.977,우성식품 앞
1446,0,10575,256.2067707,0.672,중랑전화국 교차로
3416,0,6744,256.3696424,0.03,동묘앞역 6번출구
3559,0,17571,257.2137332,0.188,성동구민종합체육센터 앞
3571,0,24381,258.3666031,0.689,화양 APT(횡단보도 옆)
1436,0,13218,258.9705406,0.945,영풍마드레빌
3524,0,29361,259.681226,0.22,세종대학교
621,0,10035,260.0381945,0.848,동대문중학교 옆
622,0,10035,260.0463155,1.133,전농사거리 교통섬
631,0,59670,261.1913822,0.062,답십리역 1번출구
578,0,16059,262.3272767,0.769,성동세무서 부근
674,0,37023,262.6805121,0.308,고대앞사거리 교통섬
585,0,6579,263.1582111,0.89,성수2가1동 공영주차장 인근
802,0,53223,263.6508798,0.054,한강진역 2번 출구 앞
3543,0,24042,264.2610928,0.378,세종대학교(학술정보원)
3502,0,13857,264.6836694,0.068,중곡역 1번출구
3425,0,23067,265.0462883,0.445,광화문 풍림스페이스본 1단지앞
3514,0,3528,265.8139705,0.318,왕십리교회옆
669,0,4314,266.6092937,0.429,청계신한신휴플러스앞 삼거리
1338,0,19845,267.0178505,0.231,용문2교 옆
615,0,6849,267.6763547,0.218,용두동 래미안허브리츠아파트 앞
